OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
149747,361031000000.0,361031000000.0,36,103,124602,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,198.3343208,21.3351082,176.9992126,137.50244,619,204.0,204.0,0.709,21,0.102941176,24,0.117647059,159,0.779411765,377,80,71,226,0.212201592,1781,54,204,95,1180,248,54,42,95,486,248,329,365,162,519,545,717,0.291409321,1.483610036,4.501738296,12.95249742,0.392720304,1.483610036,0.690896831,8.581665896,1.803604358,0.392720304,0.305449125,0.690896831,3.534482734,1.803604358,2.392684813,2.654498349,1.178160911,14.43610746,0,8.730392157,0.657251763,0.657251763,0.882215283,0.882215283,0.714506095,0.483219141,0.524760616,0.38503473,0.515833333,0.34939759,0.211678832,0.454607364,21.83273045,0.0,4.520866092,17.31186436,129.0166191,0.0,50.62169412,7.231670589,104.8592235,18.07917647,177.03,0.25851305,0.414488636,24.0,86.78004707,0.038772213,220413,252210,43315,47038,3.26823e-05,0.180577289,4.2413e-05,0.26153232,3.47577e-06,0.006219874,7.32413e-06,0.017435708,17,20,16,19,17.83333333,5855.268593,802649.8416
149756,361031000000.0,361031000000.0,36,103,112213,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,883.3540835,0.0,883.3540835,804.37468,2517,861.0,765.0,0.582,0,0.0,111,0.145098039,654,0.854901961,1318,271,288,759,0.205614568,491,24,280,21,153,13,24,280,21,64,13,3,86,0,120,220,151,0.244399185,1.070396696,3.129138774,0.610412053,0.029836842,0.348096487,0.026107236,0.190209866,0.016161623,0.029836842,0.348096487,0.026107236,0.079564911,0.016161623,0.003729605,0.106915349,0.0,1.680808749,0,0.641830065,0.659935362,0.659935362,0.66840502,0.625483375,0.605197922,0.617134258,0.677046903,0.775905401,0.326462766,0.542841349,2.684317719,0.185571,9.785843778,0.0,0.006100702,9.779743075,38.17377497,0.0,0.724511283,0.0,47.81774465,5.796090261,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,179724,203764,-99999,-99999,2.6649e-05,0.147242099,3.4266e-05,0.211295633,-99999.0,-99999.0,-99999.0,-99999.0,13,13,8,1,7.333333333,9440.497175,3574887.429
149757,361032000000.0,361032000000.0,36,103,158006,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,213.7506427,0.0,213.7506427,207.9290325,847,385.0,340.0,0.465,62,0.182352941,106,0.311764706,172,0.505882353,435,97,86,252,0.222988506,568,34,13,25,408,88,34,13,25,81,88,0,327,0,220,243,105,0.387323944,1.851593283,4.073505223,2.73170126,0.163517329,0.062521332,0.12023333,1.962207947,0.423221322,0.163517329,0.062521332,0.12023333,0.389555989,0.423221322,0.0,1.572651957,0.0,4.583294543,0,1.670588235,0.571026302,0.571026302,0.712710683,0.61411013,0.689926303,0.595103379,0.65366446,0.456837765,0.802826855,0.867397807,0.76584507,0.79123922,16.56463529,1.133327052,2.87281063,12.55849761,47.92724771,2.994143044,14.97071522,5.988286088,47.9062887,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,96669,107436,-99999,-99999,1.43338e-05,0.079197806,1.8067e-05,0.111407106,-99999.0,-99999.0,-99999.0,-99999.0,16,12,9,1,8.0,7286.876758,865037.2468
149758,361032000000.0,361032000000.0,36,103,158006,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,638.1980192,0.0,638.1980192,608.8840358,2001,766.0,715.0,0.606,47,0.065734266,163,0.227972028,505,0.706293706,1248,286,226,736,0.229166667,175,3,6,39,125,2,3,6,39,59,2,0,66,0,42,54,79,0.24,1.258039224,3.286340062,0.28741105,0.004927047,0.009854093,0.064051605,0.205293607,0.003284698,0.004927047,0.009854093,0.064051605,0.096898583,0.003284698,0.0,0.108395025,0.0,1.545450274,0,0.244755245,0.504121825,0.504121825,0.72852263,0.62773456,0.365690559,0.417555553,0.443357663,0.403494848,0.160845588,0.245959241,7.131428571,0.002173474,13.75152018,0.504732504,0.039509111,13.20727857,50.16624784,0.0,3.008470635,0.0,72.20329524,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,88511,98145,-99999,-99999,1.31242e-05,0.072514218,1.65046e-05,0.101772687,-99999.0,-99999.0,-99999.0,-99999.0,6,13,9,1,6.5,8446.60524,2582751.455
149759,361032000000.0,361032000000.0,36,103,158007,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,352.3841209,0.0,352.3841209,352.2547503,1379,14.0,3.0,0.716,0,0.0,3,1.0,0,0.0,265,55,63,147,0.20754717,13965,39,43,16,13845,22,39,0,16,23,22,13457,365,43,1946,1594,10425,0.139348371,0.039743964,3.914780422,39.64460377,0.110715327,0.122070746,0.045421673,39.30394122,0.0624548,0.110715327,0.0,0.045421673,0.065293655,0.0624548,38.20246566,1.03618191,0.122070746,39.68434773,0,4655.0,0.037721692,0.037721692,0.099526696,0.093135587,0.035008281,0.019137035,0.020821918,0.367907599,0.179744526,0.037245257,0.018976011,0.374926981,5.036890979,1.492070024,0.791669733,2.753151223,3.634215971,0.0,1.816199885,0.0,3.632399771,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,71132,81424,-99999,-99999,1.05473e-05,0.058276162,1.36927e-05,0.084433637,-99999.0,-99999.0,-99999.0,-99999.0,1,2,3,1,1.833333333,9505.120927,1426077.381
149760,361031000000.0,361031000000.0,36,103,112213,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,620.7836467,0.0,620.7836467,596.1543897,1514,507.0,413.0,0.59,0,0.0,0,0.0,413,1.0,804,167,171,466,0.207711443,2357,33,3,20,2275,26,33,3,20,26,26,2133,116,0,380,662,1315,0.161221892,0.850450837,2.539610588,3.953673814,0.055354788,0.005032253,0.033548357,3.816125553,0.043612863,0.055354788,0.005032253,0.033548357,0.043612863,0.043612863,3.577932222,0.194580468,0.0,4.804124652,0,5.707021792,0.11967826,0.11967826,0.229577929,0.214835576,0.326515212,0.199536571,0.21948976,0.39169689,0.782226815,0.508699779,0.341111583,0.517426177,14.1762469,3.05642644,1.943209953,9.176610502,29.56675824,3.092864978,2.061909986,1.030954993,36.08342475,3.092864978,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,239883,250058,-99999,-99999,3.55693e-05,0.196528434,4.20511e-05,0.259300776,-99999.0,-99999.0,-99999.0,-99999.0,5,3,7,1,4.0,7731.729852,2512276.136
149761,361032000000.0,361032000000.0,36,103,200901,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,487.3259251,0.0,487.3259251,477.1100046,634,698.0,304.0,0.547,31,0.101973684,123,0.404605263,150,0.493421053,325,69,87,169,0.212307692,1713,308,533,146,477,249,308,162,146,218,249,170,89,371,331,428,954,0.193228255,1.462974981,1.328834009,3.590366967,0.64555343,1.117142787,0.306009093,0.999769436,0.521892221,0.64555343,0.339544337,0.306009093,0.456917688,0.521892221,0.356311958,0.18653979,0.77759845,5.053341948,0,5.634868421,0.943181429,0.943181429,0.96100548,0.96100548,0.956130535,0.793531744,0.861828194,0.405712461,0.540264167,0.318940137,0.189725628,0.444736026,13.33406153,0.0,0.300612486,13.03344905,51.67531359,0.0,3.939868374,2.626578916,53.84486777,10.50631566,225.31,0.243793023,0.633955457,0.33,0.433385521,0.000520505,7946,6738,2104,694,1.17821e-06,0.006509902,1.1331e-06,0.006987054,1.68833e-07,0.000302127,1.0806e-07,0.000257247,20,20,10,19,16.33333333,9746.845486,1972184.004
149762,361031000000.0,361031000000.0,36,103,124601,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,95.1955221,0.0,95.1955221,95.1955221,893,352.0,325.0,0.736,0,0.0,86,0.264615385,239,0.735384615,636,124,166,346,0.194968553,1077,8,11,21,1037,0,8,11,21,1035,0,0,2,0,382,544,151,0.354688951,3.697652917,9.380693338,11.31355736,0.084037566,0.115551654,0.220598612,10.89336953,0.0,0.084037566,0.115551654,0.220598612,10.87236014,0.0,0.0,0.021009392,0.0,15.01121028,0,3.313846154,0.141709531,0.122061946,0.130427151,0.100947489,0.430192204,0.206650288,0.224698779,0.410797995,0.906598985,0.742556918,0.590529248,0.664001579,23.96949565,0.0,3.826086241,20.14340941,116.583635,0.0,40.33803182,13.44601061,114.2910902,0.0,410.38,0.0,0.0,4.0,26.89202122,0.004479283,220999,252635,32383,46839,3.27692e-05,0.18105738,4.24845e-05,0.261973029,2.59854e-06,0.004650079,7.29315e-06,0.017361944,8,2,16,16,12.33333333,2481.495687,385252.0133
149763,361031000000.0,361031000000.0,36,103,122502,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,106.2369385,0.0,106.2369385,97.38133,1422,425.0,425.0,0.598,60,0.141176471,179,0.421176471,186,0.437647059,621,131,229,261,0.210950081,123,0,0,0,123,0,0,0,0,0,0,123,0,0,28,31,64,0.227642276,4.364286255,14.60238836,1.263075787,0.0,0.0,0.0,1.263075787,0.0,0.0,0.0,0.0,0.0,0.0,1.263075787,0.0,0.0,5.627362042,0,0.289411765,0.0,0.0,0.0,0.0,0.768214798,0.383969818,0.427466976,0.797663291,0.159223301,0.330645161,5.048780488,0.017443634,27.8002004,2.744972282,0.51590004,24.53932808,118.5154634,12.04853997,12.04853997,12.04853997,102.4125898,30.12134993,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,265428,291758,-99999,-99999,3.9357e-05,0.217456632,4.90636e-05,0.302542114,-99999.0,-99999.0,-99999.0,-99999.0,18,1,16,1,8.833333333,3204.092646,429937.1079
149764,361031000000.0,361031000000.0,36,103,111402,4,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,106.3488748,0.0,106.3488748,105.7180861,867,366.0,344.0,0.579,0,0.0,131,0.380813953,213,0.619186047,577,117,117,343,0.202772964,231,38,86,33,70,4,38,86,33,58,4,7,5,0,57,85,89,0.246753247,3.462037702,8.201056525,2.185056583,0.359446537,0.813484269,0.31215094,0.662138358,0.037836478,0.359446537,0.813484269,0.31215094,0.548628926,0.037836478,0.066213836,0.047295597,0.0,5.647094285,0,0.671511628,0.85419232,0.85419232,0.795968839,0.744855679,0.68424878,0.669049238,0.719277723,0.922631455,0.420765027,0.571782178,2.497835498,0.223613649,25.48718467,0.0,3.146142498,22.34104217,152.506362,0.0,30.08964604,12.03585842,126.3765134,36.10757525,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,209733,213674,-99999,-99999,3.10987e-05,0.171827508,3.59326e-05,0.221571931,-99999.0,-99999.0,-99999.0,-99999.0,16,17,18,1,11.83333333,3031.658361,430386.3273
149766,361032000000.0,361032000000.0,36,103,201003,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,819.3915072,0.0,819.3915072,815.7266734,1527,730.0,557.0,0.654,95,0.170556553,77,0.138240575,385,0.691202873,647,152,205,290,0.234930448,485,43,26,183,165,68,43,26,183,155,68,0,10,0,58,164,263,0.119587629,0.894907601,1.871950556,0.594561899,0.052713735,0.031873421,0.224339851,0.202273636,0.083361256,0.052713735,0.031873421,0.224339851,0.190014628,0.083361256,0.0,0.012259008,0.0,1.4894695,0,0.870736086,0.858501175,0.858501175,0.814554822,0.701864557,0.74444912,0.743368989,0.776592255,0.704549841,0.482107356,0.856890459,1.334020619,0.716039018,9.290134052,0.0,1.953293778,7.336840274,31.25519337,0.0,16.40241555,1.562134814,21.08881999,4.686404443,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,6000,5468,-99999,-99999,8.89665e-07,0.004915607,9.19528e-07,0.005670111,-99999.0,-99999.0,-99999.0,-99999.0,17,16,8,1,8.5,8098.002215,3316034.489
149767,361032000000.0,361032000000.0,36,103,201003,5,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,1096.172665,137.8343568,958.3383082,908.14309,776,686.0,304.0,0.646,19,0.0625,106,0.348684211,179,0.588815789,378,76,115,187,0.201058201,327,26,102,36,127,36,26,102,36,58,36,5,64,0,54,86,187,0.165137615,0.755387568,0.854490893,0.360075415,0.02862985,0.112317102,0.03964133,0.139845803,0.03964133,0.02862985,0.112317102,0.03964133,0.063866587,0.03964133,0.00550574,0.070473476,0.0,1.115462983,0,1.075657895,0.880954351,0.880954351,0.894410164,0.836975592,0.796559825,0.745435503,0.808809789,0.618571878,0.592928377,0.927659574,1.155963303,0.855590588,8.085325376,0.0,0.701015349,7.384310028,21.37967336,0.0,5.342580961,0.0,22.70596909,2.671290481,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,6894,6052,-99999,-99999,1.02223e-06,0.005648033,1.01774e-06,0.006275697,-99999.0,-99999.0,-99999.0,-99999.0,19,20,7,1,9.166666667,13758.62273,4436150.838
149768,361032000000.0,361032000000.0,36,103,200901,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,4473.063257,1911.518404,2561.544853,2558.35433,400,1195.0,213.0,0.38,8,0.037558685,74,0.34741784,131,0.615023474,226,57,51,118,0.252212389,690,125,179,5,152,229,125,79,5,126,229,0,26,100,135,200,355,0.195652174,0.467097144,0.156350508,0.269704627,0.048859534,0.069966852,0.001954381,0.059413193,0.089510666,0.048859534,0.030879225,0.001954381,0.04925041,0.089510666,0.0,0.010162783,0.039087627,0.736801771,0,3.23943662,0.866479984,0.866479984,0.859940377,0.804719283,0.899609798,0.731880852,0.812543934,0.419461471,0.733944954,0.493449782,0.327536232,0.510449398,8.207458591,0.0,1.599430147,6.608028445,21.16297903,0.0,10.24381828,1.998793811,16.9897474,0.999396906,-99999.0,0.0,0.011683119,-99999.0,-99999.0,-99999.0,7998,6532,-99999,-99999,1.18592e-06,0.006552504,1.09846e-06,0.006773439,-99999.0,-99999.0,-99999.0,-99999.0,20,19,6,1,8.833333333,24850.41339,18102603.56
149769,361032000000.0,361032000000.0,36,103,200902,4,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,1521.374932,0.0,1521.374932,1516.693764,592,824.0,374.0,0.372,0,0.0,214,0.572192513,160,0.427807487,233,39,55,139,0.167381974,689,32,6,96,554,1,32,6,96,269,1,284,1,0,69,108,512,0.100145138,0.543286997,0.390322697,0.454277598,0.021098524,0.003955973,0.063295572,0.365268199,0.000659329,0.021098524,0.003955973,0.063295572,0.177359469,0.000659329,0.187249402,0.000659329,0.0,0.997564595,0,1.842245989,0.399710866,0.399710866,0.621797347,0.581868615,0.594692607,0.379521079,0.395098577,0.461581888,0.924277908,0.505422993,0.338171263,0.515907013,7.587526281,0.0,0.85966023,6.727866051,22.30613854,0.0,2.103360541,0.420672108,29.44704757,0.841344216,-99999.0,0.0,0.058124742,-99999.0,-99999.0,-99999.0,7649,6214,-99999,-99999,1.13417e-06,0.00626658,1.04498e-06,0.006443685,-99999.0,-99999.0,-99999.0,-99999.0,13,11,7,1,6.666666667,10933.39233,6156919.663
149770,361032000000.0,361032000000.0,36,103,158116,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,185.9434913,0.0,185.9434913,181.8280361,652,230.0,218.0,0.721,0,0.0,62,0.28440367,156,0.71559633,335,82,77,176,0.244776119,623,14,7,256,146,200,14,7,256,91,200,0,55,0,206,188,229,0.330658106,1.264931443,3.585805655,3.426314299,0.076995827,0.038497913,1.407923693,0.802956481,1.099940385,0.076995827,0.038497913,1.407923693,0.500472875,1.099940385,0.0,0.302483606,0.0,4.691245742,0,2.857798165,0.749310824,0.749310824,0.7597058,0.654603668,0.817965888,0.6511489,0.659051375,0.436787013,0.977254902,0.699373695,0.537720706,0.629846403,13.07357634,1.571732988,0.901139432,10.60070392,39.02777101,3.441905901,6.883811802,0.0,51.62858852,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,82707,105427,-99999,-99999,1.22636e-05,0.067759188,1.77292e-05,0.109323849,-99999.0,-99999.0,-99999.0,-99999.0,19,14,8,1,8.5,4604.251307,752501.2456
149796,361031000000.0,361031000000.0,36,103,122902,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,179.466259,0.0,179.466259,178.175715,1709,657.0,649.0,0.721,27,0.041602465,222,0.342064715,400,0.61633282,998,213,268,517,0.213426854,260,36,12,82,89,41,36,12,82,29,41,54,6,0,64,111,85,0.246153846,3.687371199,9.591655067,1.459233656,0.202047737,0.067349246,0.460219845,0.499506905,0.230109923,0.202047737,0.067349246,0.460219845,0.162760677,0.230109923,0.303071605,0.033674623,0.0,5.146604855,0,0.400616333,0.893421308,0.893421308,0.888524216,0.83146761,0.56360223,0.6563826,0.69677153,0.744751712,0.264093448,0.413354531,3.838461538,0.058515621,21.79734678,4.389932846,0.0,17.40741394,72.52438465,14.26451977,0.0,0.0,39.22742937,46.35968926,-99999.0,0.0,0.0,6.0,21.39677966,0.003510825,257849,285308,-99999,-99999,3.82332e-05,0.211247401,4.79789e-05,0.295853705,-99999.0,-99999.0,-99999.0,-99999.0,12,20,12,1,9.666666667,3661.683758,726289.5824
149798,361031000000.0,361031000000.0,36,103,124402,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,19255.74267,14295.27071,4960.471961,758.83136,245,238.0,103.0,0.669,0,0.0,55,0.533980583,48,0.466019417,199,49,44,106,0.246231156,10,0,0,5,5,0,0,0,5,5,0,0,0,0,5,3,2,0.5,0.313640174,0.322864885,0.013178159,0.0,0.0,0.006589079,0.006589079,0.0,0.0,0.0,0.006589079,0.006589079,0.0,0.0,0.0,0.0,0.326818333,0,0.097087379,1.0,0.430676558,1.0,0.333333333,0.328035384,0.228789529,0.22840588,0.002832299,0.078431373,0.09569378,19.9,6.19205e-09,3.970540064,2.496880907,0.369592162,1.104066996,2.968749772,0.90313987,1.290199814,0.387059944,2.580399628,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,56349,66226,-99999,-99999,8.35529e-06,0.046164925,1.11369e-05,0.06867388,-99999.0,-99999.0,-99999.0,-99999.0,6,4,3,1,3.0,41716.4149,77926984.17
149799,361031000000.0,361031000000.0,36,103,122603,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,204.0979283,10.0671011,194.0308272,81.49265,880,444.0,407.0,0.761,7,0.017199017,147,0.361179361,253,0.621621622,392,85,102,205,0.216836735,20,0,15,1,4,0,0,15,1,4,0,0,0,0,1,6,13,0.05,5.448344114,10.79851987,0.245420906,0.0,0.18406568,0.012271045,0.049084181,0.0,0.0,0.18406568,0.012271045,0.049084181,0.0,0.0,0.0,0.0,5.693765021,0,0.049140049,0.625730986,0.427127847,0.625730986,0.330586716,0.15963214,0.101027992,0.110180545,1.1585e-11,0.044444444,0.097087379,19.6,8.35839e-09,18.99031539,4.263546038,1.425545112,13.30122424,43.99795704,19.79066963,0.0,0.0,56.07356396,6.596889878,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,230616,262062,-99999,-99999,3.41952e-05,0.188936279,4.40698e-05,0.271748474,-99999.0,-99999.0,-99999.0,-99999.0,2,4,9,1,4.333333333,5824.866305,825972.561
149800,361031000000.0,361031000000.0,36,103,124300,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,222.9650017,0.0,222.9650017,216.6559544,1851,668.0,668.0,0.592,65,0.097305389,321,0.480538922,282,0.422155689,756,152,191,413,0.201058201,1253,274,97,454,372,56,274,97,454,98,56,177,97,0,318,396,539,0.253790902,3.083229361,8.543499323,5.783362859,1.264677912,0.447714443,2.095488219,1.717007968,0.258474318,1.264677912,0.447714443,2.095488219,0.452330056,0.258474318,0.816963469,0.447714443,0.0,8.86659222,0,1.875748503,0.868486118,0.868486118,0.879322989,0.822857241,0.869398043,0.786564861,0.813921951,0.520557014,0.807345361,0.75261324,0.603351955,0.672570699,21.60468564,4.959324202,1.870914054,14.77444739,68.91843959,22.96324518,5.740811294,0.0,80.37135812,11.48162259,193.12,0.0,0.0,6.0,17.22243388,0.003241491,255309,285071,20703,31975,3.78566e-05,0.20916646,4.79391e-05,0.295607945,1.66129e-06,0.002972875,4.97872e-06,0.011852263,20,19,11,19,16.5,4673.953733,902325.7031
149801,361031000000.0,361031000000.0,36,103,124300,5,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,40.1468312,0.0,40.1468312,40.1468312,780,361.0,309.0,0.499,33,0.106796117,157,0.508090615,119,0.385113269,388,89,99,200,0.229381443,230,6,13,0,200,11,6,13,0,4,11,0,196,0,36,103,91,0.156521739,8.991992374,19.42868158,5.728970211,0.149451397,0.32381136,0.0,4.981713227,0.273994227,0.149451397,0.32381136,0.0,0.099634265,0.273994227,0.0,4.882078962,0.0,14.72096258,0,0.74433657,0.378309206,0.325857813,0.378827488,0.293203396,0.563027456,0.496290898,0.552512097,0.604495769,0.455445545,0.74433657,1.686956522,0.50310493,16.62107014,0.0,3.682308187,12.93876196,63.78187078,0.0,0.0,31.88296465,47.82444698,0.0,339.3,0.0,0.0,6.0,95.64889395,0.007692308,241613,272434,23774,34094,3.58258e-05,0.197945768,4.5814e-05,0.28250385,1.90772e-06,0.003413859,5.30866e-06,0.012637719,12,4,11,17,12.0,1665.389805,162472.0842
149802,361031000000.0,361031000000.0,36,103,146605,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,1869.730087,0.0,1869.730087,1863.201777,986,297.0,275.0,0.688,5,0.018181818,33,0.12,237,0.861818182,634,157,159,318,0.247634069,9880,143,713,6698,2018,308,143,713,6698,1506,308,249,263,0,980,2919,5981,0.099190283,0.159403025,0.529196576,5.302699966,0.076749605,0.382674603,3.594887082,1.083081835,0.165306841,0.076749605,0.382674603,3.594887082,0.808286047,0.165306841,0.13364092,0.141154868,0.0,5.462102992,0,35.92727273,0.588452274,0.588452274,0.56460068,0.528344832,0.583712184,0.631188338,0.526354394,0.37984817,0.181483527,0.120601103,0.06417004,0.39226017,10.13414364,0.741925419,1.777034779,7.615183441,37.89586555,2.396067769,8.215089495,1.711476978,37.31019812,5.819021726,-99999.0,0.034297555,0.135904263,5.33,1.824434459,0.00540568,131151,142748,-99999,-99999,1.94467e-05,0.1074478,2.40053e-05,0.148024327,-99999.0,-99999.0,-99999.0,-99999.0,13,9,8,1,6.666666667,10931.82828,7566693.76
149803,361031000000.0,361031000000.0,36,103,122902,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,108.6983016,0.0,108.6983016,108.2499546,1005,289.0,253.0,0.607,10,0.039525692,8,0.031620553,235,0.928853755,674,147,212,315,0.21810089,424,233,29,40,87,35,233,29,40,59,35,0,28,0,154,129,141,0.363207547,2.669747079,9.284068563,3.916860767,2.152425846,0.267898496,0.369515167,0.803695488,0.323325771,2.152425846,0.267898496,0.369515167,0.545034871,0.323325771,0.0,0.258660617,0.0,6.586607846,0,1.675889328,0.786658502,0.786658502,0.778557282,0.670847127,0.811400524,0.758586241,0.825486395,0.493171464,0.593421973,0.772313297,1.589622642,0.554536504,31.02723248,13.26668427,0.37126054,17.38928768,56.93557221,47.10285188,0.0,0.0,58.87856485,17.66356946,638.37,0.0,0.0,6.0,35.32713891,0.005970149,267160,295863,4912,12505,3.96138e-05,0.218875604,4.97539e-05,0.306798845,3.94159e-07,0.000705345,1.94711e-06,0.004635264,19,14,10,14,13.5,3239.459524,439895.3173
149804,361031000000.0,361031000000.0,36,103,123101,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,350.5629939,0.0,350.5629939,212.62479,1026,408.0,408.0,0.627,8,0.019607843,153,0.375,247,0.605392157,682,134,192,356,0.196480938,146,0,7,5,128,6,0,7,5,11,6,0,117,0,97,34,15,0.664383562,1.918873147,4.825401591,0.686655587,0.0,0.032921843,0.023515602,0.601999419,0.028218723,0.0,0.032921843,0.023515602,0.051734325,0.028218723,0.0,0.550265094,0.0,2.605528734,0,0.357843137,0.366244814,0.315466112,0.475092484,0.367710196,0.441476683,0.461603323,0.508954215,0.947182429,0.249146758,0.352657005,4.671232877,0.02544508,14.96623084,2.546215653,0.093045069,12.32697012,43.8353171,3.651269593,1.825634796,0.0,58.42031349,3.651269593,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,254519,284462,-99999,-99999,3.77394e-05,0.208519239,4.78367e-05,0.294976435,-99999.0,-99999.0,-99999.0,-99999.0,8,5,9,1,5.5,5553.842868,1418709.466
